countryiso3code,country_x,year,WDI_GDP_Growth,WDI_GDPpc,WDI_Investment,WDI_Inflation,WDI_PopGrowth,WDI_Trade,WGI_CC.EST,WGI_GE.EST,WGI_RQ.EST,WGI_RL.EST,WGI_VA.EST,WGI_PV.EST,WGI_GE.EST_01,WGI_RL.EST_01,WGI_RQ.EST_01,WGI_CC.EST_01,S4_raw,S4_trend,S4_diff,V_5y,PSAV_shock,FQ_z_equal_weight,z_FH,z_RSF,z_VDEM,sources_used,country_y,country,g,log_gdppc,log_gdppc_lag,pi,pi2,S_PCA,F_PCA_main
CHN,China,2021,8.57008513166322,11469.5707134928,42.6822612949312,0.981015135544894,0.0892522000412526,36.5206911762564,0.0302335843443871,0.80791163444519,-0.332243531942368,0.0102688856422901,-1.64127457141876,-0.516462862491608,0.661582326889038,0.502053777128458,0.4335512936115264,0.5060467168688774,0.5258085286244749,0.4880478312410016,0.0124187758192418,0.0132631483430761,0.0,-0.4470834012762577,-1.7063841569323972,2.254340825695305,-1.8892068725916813,3,China,CHN,8.57008513166322,9.347452782526133,9.266119580153436,0.981015135544894,0.9623906961681666,-0.14390780684702134,-2.0523901440628802
CHN,China,2022,3.1341888719577,11830.5983703496,42.3554333470499,1.97357555739052,-0.0130995013525784,37.4407198763585,0.0160636715590954,0.494212538003922,-0.418417632579803,-0.04217629134655,-1.60137104988098,-0.45127671957016,0.5988425076007844,0.49156474173069,0.4163164734840394,0.5032127343118191,0.5024841142818333,0.4910260288390699,-0.0233244143426416,0.0200427490588178,0.0,-1.7881779383577752,-1.71164992150434,,-1.8647059552112104,2,China,CHN,3.1341888719577,9.378444536449788,9.347452782526133,1.97357555739052,3.8950004807293017,-0.24143390148796748,
CHN,China,2023,5.41484330099675,12484.1578844175,41.1297102455381,0.23483682889306,-0.103794531589067,36.1051923690574,-0.0053701046854257,0.679014027118683,-0.356507807970047,-0.0401299707591534,-1.50455415248871,-0.513097047805786,0.6358028054237366,0.4919740058481693,0.4286984384059906,0.4989259790629148,0.5138503071852029,0.4957346654566696,0.0113661929033695,0.0203538121133383,0.0,-1.7913568626042975,-1.7179272877355896,,-1.8647864374730057,2,China,CHN,5.41484330099675,9.432215750252183,9.378444536449788,0.23483682889306,0.05514833620454834,-0.21890799740656508,
COL,Colombia,2004,5.33302206759905,4311.91591255233,19.4409966142669,5.90402005546502,1.46883725533231,35.8634269337995,-0.140631452202797,-0.215896517038345,-0.0864163339138031,-0.695200145244598,-0.318785130977631,-2.27122640609741,0.456820696592331,0.3609599709510804,0.4827167332172394,0.4718737095594406,0.4430927775800228,0.4430927775800228,,,,-0.2571244217053406,-0.3765196545167897,,-0.1377291888938914,2,Colombia,COL,5.33302206759905,8.369137611599138,,5.90402005546502,34.85745281533318,-0.9042363347725311,
COL,Colombia,2005,4.82876110773741,4457.27537460443,21.6562413080915,5.05101962689696,1.4002642115634,37.422697494955,-0.145389392971992,-0.197672158479691,-0.0163637585937977,-0.63308185338974,-0.322521358728409,-2.05794286727905,0.4604655683040618,0.373383629322052,0.4967272482812405,0.4709221214056016,0.450374641828239,0.444595022344285,0.0072818642482161,,,-0.1856119483800146,-0.3008429034378429,,-0.0703809933221863,2,Colombia,COL,4.82876110773741,8.402292955782052,8.369137611599138,5.05101962689696,25.51279927129831,-0.9003755186414628,
COL,Colombia,2006,6.71686869844402,4694.03442939175,22.9389629039528,4.29342363628925,1.32542990992624,39.6413559606293,-0.175137788057327,-0.191516101360321,0.106225542724133,-0.508387923240662,-0.172736719250679,-1.90479671955109,0.4616967797279357,0.3983224153518676,0.5212451085448266,0.4649724423885346,0.4615591865032911,0.4480947204874074,0.0111845446750521,,,-0.1166747833801897,-0.1728527656130812,,-0.0604968011472982,2,Colombia,COL,6.71686869844402,8.454047711150102,8.402292955782052,4.29342363628925,18.43348652064721,-0.7714379758501508,
COL,Colombia,2007,6.73819469090975,4947.25260813108,23.4542806868515,5.54438485815156,1.26689099629201,37.0988970982903,-0.279160350561142,-0.0502213798463345,0.284262537956238,-0.432980388402939,-0.165321603417397,-1.80652725696564,0.4899557240307331,0.4134039223194122,0.5568525075912476,0.4441679298877716,0.4760950209572911,0.4538711677466315,0.014535834454,0.0036304761267839,,-0.0958102232141004,-0.1837461923847743,,-0.0078742540434265,2,Colombia,COL,6.73819469090975,8.506587672816925,8.454047711150102,5.54438485815156,30.74020345530029,-0.7062128519580791,
COL,Colombia,2008,3.28344618616541,5048.57187245249,23.7209214485662,6.99688495554511,1.20339154806457,39.1676494164355,-0.261542618274689,-0.0256232153624296,0.272389978170395,-0.381235986948013,-0.165922626852989,-1.85346233844757,0.494875356927514,0.4237528026103974,0.554477995634079,0.4476914763450622,0.4801994078792631,0.4593026698377577,0.0041043869219719,0.0045471807659952,0.0,-0.1033886602435174,-0.2059572523876027,,-0.0008200680994322,2,Colombia,COL,3.28344618616541,8.526860684740482,8.506587672816925,6.99688495554511,48.9563990811335,-0.6899056978086471,
COL,Colombia,2009,1.13964864548062,5046.97121757727,21.9875830884376,4.20251661216482,1.16491370094378,35.1561285074585,-0.337012529373169,-0.300557911396027,0.0882817208766937,-0.367777585983276,-0.149577632546425,-1.83234584331512,0.4398884177207945,0.4264444828033448,0.5176563441753388,0.4325974941253662,0.4541466847062111,0.4582389928170859,-0.026052723173052,0.0162831406213438,0.0,-0.1028382299389101,-0.2182284355371963,,0.0125519756593761,2,Colombia,COL,1.13964864548062,8.526543583446504,8.526860684740482,4.20251661216482,17.661145875521278,-0.7719257119129375,
COL,Colombia,2010,4.49465897070922,5214.24547620131,21.8887622688674,2.27200227892011,1.13596836363633,34.2646031687681,-0.42333310842514,-0.123824141919613,0.157253935933113,-0.271385610103607,-0.132357180118561,-1.53718483448029,0.4752351716160774,0.4457228779792785,0.5314507871866226,0.415333378314972,0.4669355537742376,0.4600330887682935,0.0127888690680265,0.0168869573246764,1.0,0.0116639183354145,-0.1480232957753075,,0.1713511324461367,2,Colombia,COL,4.49465897070922,8.559149673592595,8.526543583446504,2.27200227892011,5.161994355418174,-0.672247351994221,
